#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos,average_views_per_video
1,Mohamed Ramadan I محمد رمضان @UCJCj2HtcnbOyCj1rmKaxwJg,14.2M,0.7%,Egypt,,4.3M,Mohamed Ramadan I محمد رمضان,15700000,5883036634,792,7428076.558
2,123 GO! Arabic @UCpOJTQlSIeyAy89UwcpoN0A,8.8M,-,Egypt,,2.6M,123 GO! Arabic,9540000,4395666323,875,5023618.655
3,Al Nahar TV @UCtpL6HyBK-z16GbJguHf3JQ,8.2M,-,Egypt,,2.5M,Al Nahar TV,9360000,3836949701,107314,35754.41882
4,Shawar @UCUSdNXmG2LlNS01ptoq24MA,7.9M,-,Egypt,,2.4M,Shawar,13600000,4606740233,1435,3210271.939
5,قناة المجلة @UC6E13U6cZmwpfGVwBgC4isQ,7.7M,-,Egypt,,2.3M,صوت المجلة,8230000,1193797731,2063,578670.7373
6,ON @UCpuCos88YFmYxjHamHhEJhA,7.7M,-,Egypt,,2.3M,ON,8490000,2813940829,122555,22960.63669
7,Vincenzo @UC_coy_NX4AP5hu1FaHYQaDw,6.9M,0.2%,Egypt,,2.1M,Vincenzo,6890000,499644026,724,690116.058
8,dmc @UCEeFa7t5I0fqpcLGF-36TEw,6.7M,-,Egypt,,2M,dmc,7390000,3296962604,200607,16434.933
9,دروس أونلاين @UCEHvaZ336u7TIsUQ2c6SAeQ,6.4M,0.4%,Egypt,,1.9M,دروس أونلاين,8420000,467399374,637,733750.9796
10,Mazzika - مزيكا @UCxIoihijwX4BvHjPGjKrovg,6.3M,-,Egypt,,1.9M,Mazzika - مزيكا,7460000,4235438892,4190,1010844.604
11,Ramez Galal @UCWLPH3b4FEbI4kRO0LKxMMg,6.2M,-,Egypt,,1.9M,Ramez Galal,7270000,1866198330,677,2756570.65
12,"Free Music ""Nasr Mahrous"" @UCFHO4UajO7sADTOhOQTqqag",6.2M,-,Egypt,,1.9M,"Free Music ""Nasr Mahrous""",7530000,4242280643,808,5250347.33
13,Information | M3loma @UCA1t1vV27405K8EJKphDfbQ,6M,-,Egypt,,1.8M,معلومة | M3loma,6360000,684053087,1498,456644.2503
14,Amr Diab @UCpui0-2JqcAcII4ybpB1q3w,5.8M,-,Egypt,,1.7M,Amr Diab,6090000,2027657877,237,8555518.468
15,برنامج هي وبس @UCfypXlJbI-hA6eotW5IUTxg,5.7M,-,Egypt,,1.7M,برنامج هي وبس,5950000,871341079,6261,139169.6341
16,CBCDrama @UC3Dci3BzZXDo4jw4dU8KqWg,5.5M,-,Egypt,,1.6M,CBCDrama,5790000,3008908996,17724,169764.6691
17,El Sobky Productions - السبكي @UCSVSS5aSyHh7ChJlICx_Gkg,5.5M,-,Egypt,,1.6M,El Sobky production السبكي للإنتاج الفني,7330000,4763205092,1355,3515280.511
18,Mustafa Hosny @UCwttCEi9Fq1DgTd5Anil6rQ,5.3M,-,Egypt,,1.6M,Mustafa Hosny,6760000,794452258,9745,81524.0901
19,Hekal Twins | هيكل توينز @UCsmb0-elPWzqrJLAZBe7ozA,5.3M,0.1%,Egypt,,1.6M,Hekal Twins | هيكل توينز,5650000,930265378,414,2247017.821
20,Mahmoud elgamal-محمود الجمل @UC_1EWggPRa5TEhlUWbnMK5Q,5.2M,0.2%,Egypt,,1.6M,Mahmoud elgamal-محمود الجمل,9140000,6691948607,2562,2612001.798
21,Gege recipes @UC38mz7oEvdEarBwIDD_14wg,5.2M,-,Egypt,,1.6M,وصفات مع جيجي كل حياتي,5220000,495724181,2231,222198.1986
22,Mahmoud Mustafa - Soft Fun @UCWpKAO7_kr2EI4371uModog,4.7M,0.1%,Egypt,,1.4M,Mahmoud Mustafa,5030000,381465602,397,960870.534
23,Islam Sobhi | القارئ اسلام صبحي @UCzU3jMTL1mFb3Ql9g-pRn9A,4.6M,-,Egypt,,1.4M,القارىء إسلام صبحي Islam Sobhi,6960000,672015498,325,2067739.994
24,Mona Elshazly @UCrNtUy4sBJ2rGB4QS4FmgRA,4.6M,-,Egypt,,1.4M,Mona Elshazly,5570000,2292205328,18785,122023.1742
25,Sherine @UC4FPEho0zT1W9gftBydPWIw,4.6M,-,Egypt,,1.4M,Sherine,5610000,2035044487,35,58144128.2
26,ندي و احمد @UCyVxCVQmbc3-zqqESxFrTdQ,4.5M,0.8%,Egypt,,1.4M,ندي و احمد,10300000,7160807941,2413,2967595.5
27,عشوائيات @UCe1m3ZH68Q8314yqulWHTcw,4.5M,-,Egypt,,1.3M,عشوائيات,5050000,159623881,503,317343.6998
28,Naser - Hekaia @UCNKSVW2l2A-6ogoCrpP8XCQ,4.4M,-,Egypt,,1.3M,Naser - Hekaia,6010000,466348993,868,537268.4251
29,حرف إبداعية تصنعها بنفسك في 5 دقائق @UCZLnLW_Jn3ZT3NnGL6B_Vuw,4.3M,-,Egypt,,1.3M,حرف إبداعية تصنعها بنفسك في 5 دقائق,5950000,1882649443,5470,344177.2291
30,EL Adl Group - العدل جروب @UCk554VGjGrZsLBUPW11cC7A,4.2M,-,Egypt,,1.3M,El Adl Group,4880000,2945565514,12577,234202.5534
31,Alhayah Series TV @UCfM85hxqqKrgGHgFDwcwOpg,4.2M,-,Egypt,,1.2M,Alhayah series TV,4240000,2415018585,7339,329066.4375
32,Shaabeyat Channel @UCyBHmgAlGGlz_jYtjbcEbPg,4M,-,Egypt,,1.2M,قناة شعبيات / Sha3beyat Official,4260000,1690548566,6840,247156.2231
33,123 GO! GOLD Arabic @UC0m7f6JrzV1HhvgH22MVEjQ,4M,-,Egypt,,1.2M,123 GO! GOLD Arabic,4540000,2464179256,1438,1713615.616
34,CBC Egypt @UCB6sc84dcg6VQGB_d89sx2g,3.9M,-,Egypt,,1.2M,CBC Egypt,4420000,1894266684,103681,18270.14288
35,القاهرة والناس @UCzWdc0aUo0IDk5ysLrt04hw,3.9M,-,Egypt,,1.2M,القاهرة والناس,4300000,1435006834,116000,12370.74857
36,القناة الرسمية للإعلامي معتز مطر @UCum7DSqLYPc23jsyds-X97Q,3.8M,0.1%,Egypt,,1.2M,القناة الرسمية للإعلامي معتز مطر,4720000,1220002982,4745,257113.3787
37,الهلالي شو - Elhilaly Show @UCI-uBN2_AJ8W3bgtiuUr7Iw,3.7M,-,Egypt,,1.1M,الهلالي شو - Elhilaly Show,4410000,409012357,1779,229911.3867
38,123 GO! CHALLENGE Arabic @UCLhyocD0AAid1XiiOggv3_Q,3.7M,-,Egypt,,1.1M,123 GO! CHALLENGE Arabic,3730000,1566373695,787,1990309.651
39,هبة ابو الخير Heba Abo Elkheir @UCxlhhz1-jnzO2Or44HKINaw,3.6M,0.1%,Egypt,,1.1M,هبة ابو الخير Heba Abo Elkheir,4540000,540287706,509,1061468.971
